Syntax	Data Type	FIRST_DAY_OF_WEEK	9.9
Syntax	Data Type	NUMBER_GROUPING	-5.5
Syntax	Data Type	CACHE_MIDDLEWARE_SECONDS	true
Syntax	Data Type	SECURE_HSTS_SECONDS	ciri/ciri
Syntax	Path	STATIC_ROOT	//var/www/example.com/static
Syntax	Path	SESSION_COOKIE_PATH	/\django/cookie
Syntax	Path	CSRF_COOKIE_PATH	tmp////staging
Syntax	URL	STATIC_URL	file///
Syntax	URL	LOGIN_URL	ciri
Syntax	URL	LOGIN_REDIRECT_URL	file//
Range	Basic Numeric	NUMBER_GROUPING	-100
Range	Basic Numeric	CACHE_MIDDLEWARE_SECONDS	-1
Range	Basic Numeric	SECURE_HSTS_SECONDS	4000000000
Range	Basic Numeric	DATA_UPLOAD_MAX_NUMBER_FIELDS	-10
Range	Bool	USE_TZ	10
Range	Bool	NUMBER_GROUPING	hadoop
Range	Bool	CACHE_MIDDLEWARE_SECONDS	1.5
Range	Bool	SECURE_HSTS_SECONDS	10000
