Syntax	Data Type	autopurge.purgeInterval	9.9
Syntax	Data Type	electionAlg	-5.5
Syntax	Data Type	minSessionTimeout	true
Syntax	Data Type	tickTime	ciri/ciri
Syntax	Path	dataLogDir	//hadoop/io/local
Syntax	Path	dataLogDir	/\hadoop/s3a
Syntax	Path	dataLogDir	tmp////staging
Syntax	Path	dataDir	dev/urandom///
Syntax	IP Address	secureClientPortAddress	0.0.0
Syntax	IP Address	clientPortAddress	1.1.1.1.1.1
Syntax	IP Address	secureClientPortAddress	2.2.2.2.2.2
Syntax	IP Address	secureClientPortAddress	x.0.0.0.0.0
Syntax	Port	secureClientPort	1.1
Syntax	Port	secureClientPort	-100.22
Syntax	Port	secureClientPort	ciri
Syntax	Port	clientPort	file://
Range	Basic Numeric	maxClientCnxns	-100
Range	Basic Numeric	electionAlg	-1
Range	Basic Numeric	minSessionTimeout	4000000000
Range	Basic Numeric	autopurge.snapRetainCount	-10
Range	Bool	localSessionsUpgradingEnabled	10
Range	Bool	quorumListenOnAllIPs	hadoop
Range	Bool	standaloneEnabled	1.5
Range	Bool	reconfigEnabled	10000
Range	IP Address	secureClientPortAddress	-1.0.0.0
Range	IP Address	clientPortAddress	256.256.256.256
Range	IP Address	secureClientPortAddress	999.-1.0.0
Range	IP Address	secureClientPortAddress	0.0.256.0
Range	Port	secureClientPort	65536
Range	Port	secureClientPort	65536
Range	Port	secureClientPort	-1
Range	Port	clientPort	-100
